Report ID,Report URL,Bug Title,Bounty Rewarded,Reporter,Organization,Created At,Disclosed At
100186,https://hackerone.com/reports/100186,Transactions visible on Unconfirmed devices,$500,shahmeer-amir,coinbase,2015-11-17T17:15:44.839Z,2015-12-11T08:20:24.051Z
104033,https://hackerone.com/reports/104033,tokenizer crash when processing undecodable source code,$500,androm3da,ibb-python,2015-10-13T00:00:00.000Z,2015-11-14T00:00:00.000Z
104032,https://hackerone.com/reports/104032,PyFloat_FromString & PyNumber_Long Buffer Over-reads,"$1,000",johnleitch,ibb-python,2015-08-06T00:00:00.000Z,2015-11-08T00:00:00.000Z
104028,https://hackerone.com/reports/104028,Improved fix for bug #69545 (Integer overflow in ftp_genlist() resulting in heap overflow),Bounty Info Not sure,No Reporter Information FOund,ibb-php,2015-05-13T00:00:00.000Z,2015-06-18T00:00:00.000Z
104027,https://hackerone.com/reports/104027,Memory Corruption in phar_parse_tarfile when entry filename starts with null,$500,libnex,ibb-php,2015-04-15T00:00:00.000Z,2015-05-12T00:00:00.000Z
104026,https://hackerone.com/reports/104026,invalid pointer free() in phar_tar_process_metadata(),$500,libnex,ibb-php,2015-04-15T00:00:00.000Z,2015-05-22T00:00:00.000Z
104025,https://hackerone.com/reports/104025,use after free in load_newobj_ex,$500,tukan,ibb-python,2015-07-02T00:00:00.000Z,2015-07-02T00:00:00.000Z
104024,https://hackerone.com/reports/104024,array.fromstring Use After Free,$500,johnleitch,ibb-python,2015-07-12T00:00:00.000Z,2015-07-25T00:00:00.000Z
104023,https://hackerone.com/reports/104023,bytearray.find Buffer Over-read,"$1,000",johnleitch,ibb-python,2015-06-17T00:00:00.000Z,2015-06-29T00:00:00.000Z
104022,https://hackerone.com/reports/104022,hotshot pack_string Heap Buffer Overflow,$500,johnleitch,ibb-python,2015-06-20T00:00:00.000Z,2015-06-27T00:00:00.000Z
104021,https://hackerone.com/reports/104021,audioop.adpcm2lin Buffer Over-read,$500,johnleitch,ibb-python,2015-06-15T00:00:00.000Z,2015-06-28T00:00:00.000Z
104020,https://hackerone.com/reports/104020,audioop.lin2adpcm Buffer Over-read,$500,johnleitch,ibb-python,2015-06-15T00:00:00.000Z,2015-06-26T00:00:00.000Z
104019,https://hackerone.com/reports/104019,Files extracted from archive may be placed outside of destination directory,$500,stewie,ibb-php,2015-07-08T00:00:00.000Z,2015-08-05T00:00:00.000Z
104018,https://hackerone.com/reports/104018,Multiple Use After Free Vulnerabilites in unserialize(),"$1,500",ryat,ibb-php,2015-07-30T00:00:00.000Z,2015-08-05T00:00:00.000Z
104017,https://hackerone.com/reports/104017,Arbitrary code execution in str_ireplace function,"$1,000",dimitri,ibb-php,2015-07-26T00:00:00.000Z,2015-08-04T00:00:00.000Z
104016,https://hackerone.com/reports/104016,Dangling pointer in the unserialization of ArrayObject items,"$1,000",seanhn,ibb-php,2015-07-13T00:00:00.000Z,2015-08-05T00:00:00.000Z
104015,https://hackerone.com/reports/104015,curl_setopt_array() type confusion,$500,andreapalazzo,ibb-php,2015-07-29T00:00:00.000Z,2015-08-04T00:00:00.000Z
104014,https://hackerone.com/reports/104014,libcurl duphandle read out of bounds,"$1,000",sparaschoudis,internet,2015-09-16T00:00:00.000Z,2015-11-05T00:00:00.000Z
